scenario,year,metric,value,low,high
Baseline,1960.0,asr_cancer_incidence,0.0,0.0,0.0
Baseline,1961.0,asr_cancer_incidence,0.0,0.0,0.09400604855175751
Baseline,1962.0,asr_cancer_incidence,0.09445725428538285,0.0,0.26736726523559884
Baseline,1963.0,asr_cancer_incidence,0.33907680723168787,0.08063300250519212,0.5139259148228321
Baseline,1964.0,asr_cancer_incidence,0.6546039715845868,0.3373708449267153,1.1057239573333077
Baseline,1965.0,asr_cancer_incidence,1.3087991674567656,0.8170082634945259,1.661903015313418
Baseline,1966.0,asr_cancer_incidence,1.7543378897568793,1.3889485336063727,2.473184698425593
Baseline,1967.0,asr_cancer_incidence,2.4775932918264263,1.9304637646581213,3.1140706229148507
Baseline,1968.0,asr_cancer_incidence,3.710739902103066,2.7844136280952414,4.793726643107902
Baseline,1969.0,asr_cancer_incidence,4.624588760580819,3.651174901868014,6.1694816239471075
Baseline,1970.0,asr_cancer_incidence,6.272995065771903,5.481872179777528,7.290720780701414
Baseline,1971.0,asr_cancer_incidence,7.695270655478398,5.776716204109943,8.679326975299045
Baseline,1972.0,asr_cancer_incidence,9.070369526561336,7.611765134960829,10.052394599748729
Baseline,1973.0,asr_cancer_incidence,11.297100967379151,10.063027756079833,12.916651976078182
Baseline,1974.0,asr_cancer_incidence,12.838320612322143,11.822721493060726,14.74420705229581
Baseline,1975.0,asr_cancer_incidence,14.429551735262821,12.093993165163491,16.454098215434065
Baseline,1976.0,asr_cancer_incidence,14.94716464476661,13.366957796376246,17.10888132527263
Baseline,1977.0,asr_cancer_incidence,17.33336321449732,15.16299745463169,19.214731055924823
Baseline,1978.0,asr_cancer_incidence,18.719897830748266,16.164117110525304,21.02458793428959
Baseline,1979.0,asr_cancer_incidence,19.092026550652935,17.831486379490002,20.138122649734406
Baseline,1980.0,asr_cancer_incidence,19.76404069867053,17.74416693151127,22.141322601355412
Baseline,1981.0,asr_cancer_incidence,20.830820251906424,19.123129022253735,22.840765660146673
Baseline,1982.0,asr_cancer_incidence,21.217640847098345,19.688963014988122,23.503644198684956
Baseline,1983.0,asr_cancer_incidence,21.554096826996663,19.941344964037846,24.04618941931436
Baseline,1984.0,asr_cancer_incidence,22.01952714117781,19.9560873524135,24.807520335011432
Baseline,1985.0,asr_cancer_incidence,23.085998564052957,20.34702892293454,24.86464307360162
Baseline,1986.0,asr_cancer_incidence,22.69041827970431,20.407953087803218,25.038628427274272
Baseline,1987.0,asr_cancer_incidence,22.04224471704338,21.110607565416604,24.638244317684638
Baseline,1988.0,asr_cancer_incidence,22.524673927897613,19.898181381617036,24.393553048892883
Baseline,1989.0,asr_cancer_incidence,22.536478082537343,20.381656820393072,25.32917505736137
Baseline,1990.0,asr_cancer_incidence,21.676280753348973,19.828376929264714,22.835322044539627
Baseline,1991.0,asr_cancer_incidence,22.292321433390732,20.40397914976432,22.91403911300451
Baseline,1992.0,asr_cancer_incidence,21.135502338415854,20.229178438101737,23.285450509070827
Baseline,1993.0,asr_cancer_incidence,21.476466793017373,19.1521644927068,23.14442306104767
Baseline,1994.0,asr_cancer_incidence,20.92495102815772,19.30052578907234,22.143634927555528
Baseline,1995.0,asr_cancer_incidence,20.822116765952646,18.69812233744557,22.35199467794888
Baseline,1996.0,asr_cancer_incidence,20.759171517285917,18.805484438408975,22.194084710740857
Baseline,1997.0,asr_cancer_incidence,19.114822359736635,17.94784168633746,21.547304673198784
Baseline,1998.0,asr_cancer_incidence,20.162787084519387,18.007090945583105,21.161633093217194
Baseline,1999.0,asr_cancer_incidence,20.204777775976712,19.331373737065363,21.660347061739248
Baseline,2000.0,asr_cancer_incidence,19.740871425919586,18.331381455749305,20.804172725051348
Baseline,2001.0,asr_cancer_incidence,18.681237730444558,17.83668607196868,20.184005343661454
Baseline,2002.0,asr_cancer_incidence,19.611938966856158,17.676472223341133,21.700324824611677
Baseline,2003.0,asr_cancer_incidence,19.87520456471737,18.32468670511752,20.853566431353936
Baseline,2004.0,asr_cancer_incidence,18.847079344959194,17.082438935367225,20.272443561857262
Baseline,2005.0,asr_cancer_incidence,18.613887421574425,17.852997760940468,20.16986448697678
Baseline,2006.0,asr_cancer_incidence,18.79367601879053,17.54279946322841,20.58229759759738
Baseline,2007.0,asr_cancer_incidence,19.354612359246325,17.7531730374997,20.35572168007248
Baseline,2008.0,asr_cancer_incidence,18.64357851391216,16.8877015075431,21.199919202456357
Baseline,2009.0,asr_cancer_incidence,18.845670247555034,17.20001196575235,19.826077331456556
Baseline,2010.0,asr_cancer_incidence,18.777619247168715,17.779034861024126,19.78891600238044
Baseline,2011.0,asr_cancer_incidence,18.564057138924305,18.05459254535657,20.689948640090556
Baseline,2012.0,asr_cancer_incidence,18.74916437386827,17.24277005254661,20.20557154312434
Baseline,2013.0,asr_cancer_incidence,19.30017584063427,17.262539650077482,20.322368486715717
Baseline,2014.0,asr_cancer_incidence,18.78441287332563,17.565424365480872,20.65540438966122
Baseline,2015.0,asr_cancer_incidence,19.130888064551357,17.681436891868504,20.5225203823135
Baseline,2016.0,asr_cancer_incidence,19.677953621903463,17.23411619314549,20.582520028738323
Baseline,2017.0,asr_cancer_incidence,19.54504031741354,18.380304607879545,20.61257814142494
Baseline,2018.0,asr_cancer_incidence,18.946555357558722,18.293434880450505,20.393047843122307
Baseline,2019.0,asr_cancer_incidence,19.086474452847202,18.005502561312692,21.111541423887758
Baseline,2020.0,asr_cancer_incidence,19.673115340319086,18.208442620959218,20.785694387855802
Baseline,2021.0,asr_cancer_incidence,19.188114739413855,17.618799522687862,20.29314634117304
Baseline,2022.0,asr_cancer_incidence,19.412832807177033,18.51378471101868,20.60399015364717
Baseline,2023.0,asr_cancer_incidence,19.007274383361455,18.14282306817903,20.938198416670332
Baseline,2024.0,asr_cancer_incidence,18.97705016354868,18.354903396835724,20.68727712127976
Baseline,2025.0,asr_cancer_incidence,19.12903314350281,18.155973982523978,20.744678636748223
Baseline,2026.0,asr_cancer_incidence,18.974112814122556,17.58052404695146,20.184063862988033
Baseline,2027.0,asr_cancer_incidence,19.240209152699784,18.540896126926178,20.22377845095398
Baseline,2028.0,asr_cancer_incidence,19.248995207652694,18.519224135367136,19.92489170433977
Baseline,2029.0,asr_cancer_incidence,18.8520275989015,18.06926038434586,19.62443998710785
Baseline,2030.0,asr_cancer_incidence,18.918299645778603,18.03269996237356,19.754586244782196
Baseline,2031.0,asr_cancer_incidence,18.588143913055468,17.686882099321437,19.436496909294828
Baseline,2032.0,asr_cancer_incidence,18.84122921155859,18.221693503117525,19.99054589255066
Baseline,2033.0,asr_cancer_incidence,18.913824995583912,17.859199957789947,19.80411805314306
Baseline,2034.0,asr_cancer_incidence,18.690586563306248,17.767953000895766,19.910573090596042
Baseline,2035.0,asr_cancer_incidence,19.00133098618125,17.7917055314065,19.730057499839184
Baseline,2036.0,asr_cancer_incidence,18.501306690253394,17.305485043901225,19.35569796513892
Baseline,2037.0,asr_cancer_incidence,18.670465437170197,17.704290091859626,19.196896135477967
Baseline,2038.0,asr_cancer_incidence,18.383876669087,17.555098742630847,19.029783790937362
Baseline,2039.0,asr_cancer_incidence,18.376333581318633,17.889068798155837,19.139055811386278
Baseline,2040.0,asr_cancer_incidence,18.38994791688873,17.205602298845143,19.344904122537315
Baseline,2041.0,asr_cancer_incidence,18.28632656261363,17.61255347235364,19.32790243850665
Baseline,2042.0,asr_cancer_incidence,18.36687016291911,17.82056782710632,19.36736041194848
Baseline,2043.0,asr_cancer_incidence,18.389248880221864,17.60503840715863,18.986002591669983
Baseline,2044.0,asr_cancer_incidence,18.172967081140527,17.694256479684817,18.621500321553015
Baseline,2045.0,asr_cancer_incidence,18.206047697735166,17.055957521610278,19.40481931752517
Baseline,2046.0,asr_cancer_incidence,18.136829001916993,17.196952564035918,18.543575757286316
Baseline,2047.0,asr_cancer_incidence,17.961715759074686,17.385656727595762,18.96391282795558
Baseline,2048.0,asr_cancer_incidence,18.107037121824593,17.514456600616015,18.80988465785178
Baseline,2049.0,asr_cancer_incidence,18.326517510536625,17.544764433919116,18.748906941523124
Baseline,2050.0,asr_cancer_incidence,17.778510373173795,17.1244315319615,18.569517911474442
Baseline,2051.0,asr_cancer_incidence,17.762803416269875,17.098993343764217,18.692585934518814
Baseline,2052.0,asr_cancer_incidence,17.88195618871355,17.14153990264378,18.817270521066956
Baseline,2053.0,asr_cancer_incidence,18.085240483818605,17.385675621403013,18.820472774443214
Baseline,2054.0,asr_cancer_incidence,17.957117762705757,17.24545625970734,18.583978866617365
Baseline,2055.0,asr_cancer_incidence,17.727715117464463,17.272068178122346,18.830620256830795
Baseline,2056.0,asr_cancer_incidence,17.83410403530553,17.356412561958276,18.964692832559216
Baseline,2057.0,asr_cancer_incidence,18.02702068408934,17.137165897394087,18.625252729875335
Baseline,2058.0,asr_cancer_incidence,17.999440977484337,16.887226094768902,18.606567304501286
Baseline,2059.0,asr_cancer_incidence,17.695603617926764,17.281613340176843,18.007982346635636
Baseline,2060.0,asr_cancer_incidence,17.766044946861516,17.222547327488822,18.716560434659268
Baseline,2061.0,asr_cancer_incidence,17.738292075162512,17.167558013128197,18.488989865249554
Baseline,2062.0,asr_cancer_incidence,17.735434086067187,17.351943873971905,18.456101934546492
Baseline,2063.0,asr_cancer_incidence,17.76808636849715,17.22677692119084,18.17191942215903
Baseline,2064.0,asr_cancer_incidence,17.866014763571442,17.030158176608698,18.706500588573377
Baseline,2065.0,asr_cancer_incidence,17.73147765929994,17.372953062151353,18.517416071017827
Baseline,2066.0,asr_cancer_incidence,17.524824680572614,16.823556806729595,18.01996732314056
Baseline,2067.0,asr_cancer_incidence,17.953189990207193,17.3100816238521,18.434190878092775
Baseline,2068.0,asr_cancer_incidence,17.88530247938072,17.026887868360166,18.332960576598424
Baseline,2069.0,asr_cancer_incidence,17.4575484743315,16.884258383866477,18.43761971600598
Baseline,2070.0,asr_cancer_incidence,17.612910618012076,16.83252869909897,18.111403230213817
Baseline,2071.0,asr_cancer_incidence,17.64077714102091,17.20624442433501,17.96268762404221
Baseline,2072.0,asr_cancer_incidence,17.56662056590128,16.849652180007705,18.153750070853967
Baseline,2073.0,asr_cancer_incidence,17.48435071381452,16.913346594861007,18.082944846965116
Baseline,2074.0,asr_cancer_incidence,17.293581898357715,17.030864876448984,18.057153134994017
Baseline,2075.0,asr_cancer_incidence,17.601462386165807,16.76286280752508,18.104558299396828
Baseline,2076.0,asr_cancer_incidence,17.450174519386657,17.243901785916847,18.007002978219727
Baseline,2077.0,asr_cancer_incidence,17.25250249369802,17.016289730221402,17.79502288361674
Baseline,2078.0,asr_cancer_incidence,17.582934628993215,17.004062531366532,17.995372138152742
Baseline,2079.0,asr_cancer_incidence,17.20852822097647,16.684281872159175,17.622919032101397
Baseline,2080.0,asr_cancer_incidence,17.232980279502318,16.938469917642543,17.684995332265412
Baseline,2081.0,asr_cancer_incidence,17.317175654755587,16.808583356345864,17.72529510482727
Baseline,2082.0,asr_cancer_incidence,17.22309336811353,16.6350875222546,17.89956406104177
Baseline,2083.0,asr_cancer_incidence,17.128016054519566,16.473815388912605,17.61683211992489
Baseline,2084.0,asr_cancer_incidence,17.10582525486091,16.790290864579465,17.575784631334358
Baseline,2085.0,asr_cancer_incidence,17.138295025623673,16.506308239250895,17.595751202385422
Baseline,2086.0,asr_cancer_incidence,17.330257520885482,16.969123830159305,17.68754427789989
Baseline,2087.0,asr_cancer_incidence,17.192372222121996,16.59530981206745,17.88067806254204
Baseline,2088.0,asr_cancer_incidence,17.07015400679969,16.722549809435584,17.609602015823597
Baseline,2089.0,asr_cancer_incidence,16.93107951618628,16.4659313502897,17.575144433218817
Baseline,2090.0,asr_cancer_incidence,17.090609701189194,16.75538896265743,17.78092344579261
Baseline,2091.0,asr_cancer_incidence,17.069326104165768,16.492633915551245,17.517323061614402
Baseline,2092.0,asr_cancer_incidence,17.191095817543605,16.63461569599813,17.440130520449983
Baseline,2093.0,asr_cancer_incidence,16.915155617503107,16.507288818826208,17.233916058906008
Baseline,2094.0,asr_cancer_incidence,16.962108804380918,16.47338580711506,17.374575846800806
Baseline,2095.0,asr_cancer_incidence,16.92225374175395,16.41380749234247,17.434391992152808
Baseline,2096.0,asr_cancer_incidence,16.90191212863938,16.379652763722355,17.29521840176089
Baseline,2097.0,asr_cancer_incidence,16.764312046029957,16.349286546324272,17.266794035495995
Baseline,2098.0,asr_cancer_incidence,17.12844198509799,16.759712376416406,17.409629512150957
Baseline,2099.0,asr_cancer_incidence,16.898870200741534,16.500656620961593,17.269949777587577
Baseline,2100.0,asr_cancer_incidence,16.95289342750703,16.325020422176515,17.38177534172356
Baseline,1960.0,cancers,0.0,0.0,0.0
Baseline,1961.0,cancers,0.0,0.0,24.461704444885285
Baseline,1962.0,cancers,22.237913131713867,0.0,66.7137393951416
Baseline,1963.0,cancers,77.83269596099854,22.237913131713867,113.41335697174075
Baseline,1964.0,cancers,155.66539192199707,66.7137393951416,246.84083385467534
Baseline,1965.0,cancers,289.09286975860596,195.69363384246827,380.26831054687506
Baseline,1966.0,cancers,400.282434463501,309.1069890975952,555.9478208541871
Baseline,1967.0,cancers,511.4720039367676,420.29655132293703,700.4942562103273
Baseline,1968.0,cancers,822.8027782440186,620.4377695083618,1056.3008752822877
