sex,partner_count
f,12
f,13
f,10
f,16
f,13
f,13
f,19
f,15
f,28
f,19
f,10
f,20
f,13
f,7
f,7
f,17
f,20
f,6
f,12
f,8
f,18
f,16
f,9
f,8
f,13
f,2
f,11
f,21
f,10
f,14
f,13
f,30
f,14
f,10
f,20
f,18
f,12
f,7
f,18
f,11
f,11
f,21
f,7
f,12
f,8
f,9
f,10
f,11
f,13
f,9
f,13
f,15
f,7
f,40
f,12
f,30
f,8
f,13
f,5
f,10
f,12
f,6
f,6
f,14
f,7
f,8
f,17
f,13
f,9
f,16
f,20
f,4
f,21
f,14
f,13
f,10
f,12
f,12
f,9
f,16
f,19
f,7
f,13
f,14
f,14
f,10
f,24
f,13
f,15
f,11
f,22
f,10
f,7
f,12
f,10
f,9
f,12
f,17
f,25
f,13
f,8
f,5
f,15
f,14
f,7
f,10
f,11
f,15
f,13
f,9
f,9
f,8
f,11
f,11
f,15
f,14
f,13
f,9
f,15
f,9
f,9
f,10
f,12
f,14
f,25
f,26
f,13
f,9
f,12
f,7
f,18
f,11
f,8
f,7
f,14
f,10
f,12
f,20
f,11
f,8
f,13
f,13
f,11
f,27
f,11
f,15
f,7
f,22
f,10
f,18
f,11
f,9
f,16
f,15
f,7
f,17
f,9
f,12
f,14
f,18
f,4
f,12
f,16
f,14
f,19
f,10
f,16
f,9
f,10
f,10
f,12
f,14
f,14
f,10
f,4
f,6
f,21
f,18
f,5
f,13
f,7
f,14
f,4
f,6
f,6
f,5
f,3
f,8
f,17
f,13
f,23
f,9
f,20
f,13
f,6
f,14
f,7
f,12
f,16
f,16
f,6
f,19
f,6
f,13
f,15
f,21
f,15
f,15
f,18
f,11
f,10
f,12
f,14
f,17
f,33
f,32
f,10
f,23
f,11
f,36
f,20
f,6
f,13
f,5
f,10
f,16
f,13
f,11
f,24
f,13
f,19
f,10
f,18
f,8
f,14
f,13
f,8
f,11
f,13
f,29
f,8
f,28
f,6
f,16
f,9
f,13
f,10
f,17
f,19
f,11
f,11
f,12
f,13
f,7
f,10
f,27
f,12
f,13
f,36
f,8
f,9
f,20
f,23
f,14
f,19
f,14
f,10
f,18
f,10
f,16
f,13
f,10
f,12
f,25
f,18
f,10
f,10
f,12
f,8
f,5
f,21
f,13
f,10
f,29
f,19
f,12
f,8
f,14
f,8
f,14
f,6
f,18
f,15
f,29
f,13
f,20
f,12
f,10
f,3
f,9
f,12
f,9
f,13
f,2
f,7
f,11
f,45
f,15
f,19
f,16
f,7
f,17
f,13
f,19
f,12
f,15
f,11
f,26
f,17
f,16
f,11
f,13
f,12
f,14
f,11
f,10
f,25
f,5
f,12
f,7
f,17
f,5
f,45
f,12
f,34
f,11
f,11
f,13
f,11
f,11
f,13
f,7
f,9
f,12
f,12
f,12
f,12
f,9
f,6
f,18
f,13
f,9
f,23
f,6
f,14
f,8
f,20
f,12
f,7
f,13
f,8
f,21
f,19
f,6
f,10
f,16
f,11
f,16
f,12
f,20
f,10
f,4
f,16
f,11
f,11
f,13
f,12
f,17
f,14
f,10
f,12
f,11
f,21
f,15
f,13
f,6
f,5
f,29
f,14
f,16
f,10
f,15
f,7
f,13
f,12
f,34
f,10
f,21
f,15
f,17
f,26
f,22
f,17
f,28
f,6
f,17
f,11
f,12
f,16
f,13
f,24
f,14
f,9
f,16
f,9
f,12
f,10
f,14
f,10
f,15
f,15
f,19
f,16
f,11
f,4
f,10
f,11
f,16
f,28
f,6
f,41
f,19
f,47
f,16
f,12
f,23
f,14
f,4
f,10
f,7
f,18
f,23
f,12
f,10
f,18
f,10
f,24
f,5
f,14
f,14
f,12
f,10
f,14
f,10
f,11
f,15
f,16
f,20
f,30
f,9
f,10
f,8
f,10
f,7
f,20
f,16
f,11
f,8
f,15
f,17
f,4
f,7
f,11
f,9
f,8
f,23
f,10
f,23
f,13
f,14
f,12
f,24
f,14
f,14
f,8
f,15
f,5
f,18
f,9
f,12
f,17
f,12
f,16
f,5
f,10
f,9
f,9
f,10
f,7
f,17
f,11
f,16
f,5
f,12
f,7
f,20
f,18
f,8
f,20
f,17
f,4
f,43
f,9
f,11
f,16
f,17
f,7
f,16
f,7
f,10
f,10
f,14
f,27
f,16
f,9
f,8
f,8
f,9
f,7
f,17
f,5
f,30
f,12
f,5
f,20
f,9
f,15
f,20
f,9
f,10
f,13
f,30
f,9
f,13
f,15
f,9
f,11
f,11
f,8
f,13
f,16
f,13
f,9
f,11
f,34
f,10
f,12
f,6
f,5
f,19
f,10
f,12
f,14
f,17
f,14
f,7
f,13
f,10
f,48
f,16
f,22
f,5
f,10
f,7
f,10
f,10
f,15
f,10
f,9
f,14
f,11
f,3
f,5
f,11
f,9
f,17
f,9
f,13
f,10
f,11
f,7
f,18
f,13
f,2
f,10
f,13
f,16
f,17
f,8
f,16
f,9
f,10
f,14
f,12
f,9
f,14
f,12
f,8
f,9
f,10
f,11
f,21
f,10
f,19
f,16
f,11
f,15
f,13
f,20
f,14
f,10
f,8
f,10
f,20
f,9
f,10
f,12
f,11
f,10
f,4
f,8
f,12
f,8
f,8
f,31
f,10
f,22
f,11
f,7
f,10
f,3
