trial_pos,bin,value
0,0,0.35357090026435845
0,1,0.10898806244508068
0,2,0.3215040278822735
0,3,0.21593700940828736
1,0,0.35357090026435845
1,1,0.10898806244508068
1,2,0.3215040278822735
1,3,0.21593700940828736
2,0,0.3888568084135577
2,1,0.11587008331314816
2,2,0.2718771719720825
2,3,0.22339593630121168
3,0,0.35676768720677304
3,1,0.11606184851381697
3,2,0.2806917350723583
3,3,0.24647872920705166
4,0,0.39432794086114964
4,1,0.08676844656352495
4,2,0.2957893082633092
4,3,0.2231143043120162
5,0,0.39432794086114964
5,1,0.08676844656352495
5,2,0.2957893082633092
5,3,0.2231143043120162
6,0,0.39432794086114964
6,1,0.08676844656352495
6,2,0.2957893082633092
6,3,0.2231143043120162
7,0,0.39432794086114964
7,1,0.08676844656352495
7,2,0.2957893082633092
7,3,0.2231143043120162
8,0,0.36598090518039617
8,1,0.11180602946303811
8,2,0.3104893267025536
8,3,0.21172373865401214
9,0,0.3580584044576233
9,1,0.11107356129627961
9,2,0.32723122187374926
9,3,0.20363681237234776
10,0,0.3637579322620834
10,1,0.10638910066767421
10,2,0.2970511939917055
10,3,0.23280177307853692
11,0,0.3712444344786648
11,1,0.1082225756527375
11,2,0.29034772106929696
11,3,0.23018526879930076
12,0,0.3821242871233592
12,1,0.10849407117334896
12,2,0.2850738942880976
12,3,0.22430774741519421
13,0,0.37509586666546485
13,1,0.10451105866046058
13,2,0.3024020081461861
13,3,0.2179910665278884
14,0,0.37509586666546485
14,1,0.10451105866046058
14,2,0.3024020081461861
14,3,0.2179910665278884
15,0,0.3688598721345417
15,1,0.10985833091724559
15,2,0.29318147387447313
15,3,0.2281003230737396
16,0,0.3688598721345417
16,1,0.10985833091724559
16,2,0.29318147387447313
16,3,0.2281003230737396
17,0,0.3688598721345417
17,1,0.10985833091724559
17,2,0.29318147387447313
17,3,0.2281003230737396
18,0,0.3763727608940173
18,1,0.09377962584154306
18,2,0.316928430578414
18,3,0.21291918268602564
19,0,0.35741496991554433
19,1,0.12552699767546682
19,2,0.293140499855634
19,3,0.22391753255335484
20,0,0.4247668335768928
20,1,0.08948468281579874
20,2,0.2763570634945244
20,3,0.20939142011278405
21,0,0.3762152515521836
21,1,0.12287079042209055
21,2,0.2901129220081096
21,3,0.2108010360176162
22,0,0.36097538635683674
22,1,0.12537976237266044
22,2,0.26127923951276855
22,3,0.2523656117577343
23,0,0.36511217461480383
23,1,0.09548124135965924
23,2,0.3008482027651994
23,3,0.23855838126033754
24,0,0.38868031171459333
24,1,0.09248492594375142
24,2,0.30092918537314894
24,3,0.21790557696850635
25,0,0.3796428711237952
25,1,0.10748224136890924
25,2,0.3019337841184344
25,3,0.21094110338886118
26,0,0.3796428711237952
26,1,0.10748224136890924
26,2,0.3019337841184344
26,3,0.21094110338886118
27,0,0.34289507099310435
27,1,0.12346160873069333
27,2,0.2979513262720946
27,3,0.23569199400410779
28,0,0.3581299451786551
28,1,0.08660242953225686
28,2,0.3420495393255338
28,3,0.2132180859635543
29,0,0.3747992879813379
29,1,0.12003611178215802
29,2,0.2689189500564768
29,3,0.23624565018002727
30,0,0.37476620196245675
30,1,0.0880332483395304
30,2,0.3259611296609883
30,3,0.21123942003702456
31,0,0.37476620196245675
31,1,0.0880332483395304
31,2,0.3259611296609883
31,3,0.21123942003702456
32,0,0.37476620196245675
32,1,0.0880332483395304
32,2,0.3259611296609883
32,3,0.21123942003702456
33,0,0.37476620196245675
33,1,0.0880332483395304
33,2,0.3259611296609883
33,3,0.21123942003702456
34,0,0.37476620196245675
34,1,0.0880332483395304
34,2,0.3259611296609883
34,3,0.21123942003702456
35,0,0.37399863075785766
35,1,0.07304962580722887
35,2,0.3131972991627816
35,3,0.2397544442721318
36,0,0.3747111657792711
36,1,0.10819726571413471
36,2,0.2904536657580761
36,3,0.2266379027485181
37,0,0.3747111657792711
37,1,0.10819726571413471
37,2,0.2904536657580761
37,3,0.2266379027485181
38,0,0.3747111657792711
38,1,0.10819726571413471
38,2,0.2904536657580761
38,3,0.2266379027485181
39,0,0.3747111657792711
39,1,0.10819726571413471
39,2,0.2904536657580761
39,3,0.2266379027485181
40,0,0.3747111657792711
40,1,0.10819726571413471
40,2,0.2904536657580761
40,3,0.2266379027485181
41,0,0.39074919930146723
41,1,0.10818947584075858
41,2,0.2746765543947495
41,3,0.22638477046302471
42,0,0.35304930053520067
42,1,0.10384987803885898
42,2,0.30164400472650366
42,3,0.24145681669943667
43,0,0.41303131922304004
43,1,0.08101335169241024
43,2,0.2785286286239419
43,3,0.22742670046060784
44,0,0.41303131922304004
44,1,0.08101335169241024
44,2,0.2785286286239419
44,3,0.22742670046060784
45,0,0.41303131922304004
45,1,0.08101335169241024
45,2,0.2785286286239419
45,3,0.22742670046060784
