scenario,year,metric,value,low,high
Baseline,1960.0,asr_cancer_incidence,0.0,0.0,0.0
Baseline,1961.0,asr_cancer_incidence,0.0,0.0,0.09062059495645343
Baseline,1962.0,asr_cancer_incidence,0.14771006455804758,0.0,0.27525958671137124
Baseline,1963.0,asr_cancer_incidence,0.3101692608469511,0.07606035777917908,0.5622899507625329
Baseline,1964.0,asr_cancer_incidence,0.7037912412116397,0.30696129842459097,1.2304377228369752
Baseline,1965.0,asr_cancer_incidence,1.1305063938110929,0.7436534357285063,1.62135482803441
Baseline,1966.0,asr_cancer_incidence,1.9043291020293236,1.409945231208138,2.3695471432236026
Baseline,1967.0,asr_cancer_incidence,2.5465137552212638,1.9392576959479089,3.193271265448791
Baseline,1968.0,asr_cancer_incidence,3.479733132590389,2.834392259450954,4.271425889750369
Baseline,1969.0,asr_cancer_incidence,4.723486805073552,3.76024457103115,5.486047230351366
Baseline,1970.0,asr_cancer_incidence,5.770226915632228,4.875880589543794,7.643040776359078
Baseline,1971.0,asr_cancer_incidence,8.003511036050702,6.231036616614399,9.753503427283167
Baseline,1972.0,asr_cancer_incidence,9.29858904941129,7.938999271769934,11.178935768414274
Baseline,1973.0,asr_cancer_incidence,10.352633893798668,8.660242250508963,12.31961149257833
Baseline,1974.0,asr_cancer_incidence,11.748710887553875,10.88353028281891,14.687724735608287
Baseline,1975.0,asr_cancer_incidence,14.472706831280279,12.754910686924406,15.49067975859411
Baseline,1976.0,asr_cancer_incidence,14.642834482093315,13.39987183038884,16.569152788568122
Baseline,1977.0,asr_cancer_incidence,16.660471807975387,14.716222557214254,18.044559815332086
Baseline,1978.0,asr_cancer_incidence,17.482112862834732,15.593011336565558,18.793079419598193
Baseline,1979.0,asr_cancer_incidence,19.02974910613474,17.414462756316063,20.283304609029216
Baseline,1980.0,asr_cancer_incidence,19.404552012676202,17.982525946044962,21.752658040448125
Baseline,1981.0,asr_cancer_incidence,20.662532756728325,18.9238121148755,22.16817852716894
Baseline,1982.0,asr_cancer_incidence,22.030823584124505,20.211744062668338,24.05915692447768
Baseline,1983.0,asr_cancer_incidence,20.86642904226091,19.01859580654877,23.02792933625258
Baseline,1984.0,asr_cancer_incidence,22.84584716759133,20.662011086996937,24.257146532523556
Baseline,1985.0,asr_cancer_incidence,22.368424453281968,19.37337139394848,24.89418413225965
Baseline,1986.0,asr_cancer_incidence,22.31976484304193,20.98970242717593,24.71572825464666
Baseline,1987.0,asr_cancer_incidence,21.852008708356852,20.3002276087473,23.795746320367748
Baseline,1988.0,asr_cancer_incidence,21.693981154146286,20.551036514212825,23.95864256205966
Baseline,1989.0,asr_cancer_incidence,22.747390139462645,20.423729924898726,24.133535590697907
Baseline,1990.0,asr_cancer_incidence,22.700932874312944,20.995060142258637,24.42778202384593
Baseline,1991.0,asr_cancer_incidence,21.893277280762874,19.89096783788954,23.16576762953738
Baseline,1992.0,asr_cancer_incidence,21.343342600871253,20.37053353485872,22.94290140409264
Baseline,1993.0,asr_cancer_incidence,20.88720610212073,19.457993202588835,23.200731082641266
Baseline,1994.0,asr_cancer_incidence,20.90222335166321,18.744132519100248,23.12937242372756
Baseline,1995.0,asr_cancer_incidence,20.126960064408568,19.114369417317715,21.578079041982733
Baseline,1996.0,asr_cancer_incidence,20.94194770222785,19.43191813169663,22.64767191352669
Baseline,1997.0,asr_cancer_incidence,20.632888720076295,19.171782029159818,21.378152075812014
Baseline,1998.0,asr_cancer_incidence,20.2224438194945,18.45695019823809,21.803731135227107
Baseline,1999.0,asr_cancer_incidence,19.681385481027753,18.522554881714438,20.636020685039682
Baseline,2000.0,asr_cancer_incidence,20.152070071442516,18.58375765213127,20.94441736545441
Baseline,2001.0,asr_cancer_incidence,19.88913493872395,18.555086819139095,21.05328284987836
Baseline,2002.0,asr_cancer_incidence,19.672476251685616,18.082282830513634,20.614314115899408
Baseline,2003.0,asr_cancer_incidence,19.224199285074025,18.35220635689661,20.25786999471283
Baseline,2004.0,asr_cancer_incidence,20.002388890064225,18.36806362223989,20.89560524678395
Baseline,2005.0,asr_cancer_incidence,19.466313498972603,18.520144061491134,20.523102282036607
Baseline,2006.0,asr_cancer_incidence,19.304022784744127,17.00899609037923,20.94855437168126
Baseline,2007.0,asr_cancer_incidence,18.653231421943417,17.014748565100973,20.347028281774577
Baseline,2008.0,asr_cancer_incidence,19.017386740441136,18.08851601029531,20.234448952547915
Baseline,2009.0,asr_cancer_incidence,19.139079196883355,17.5889733090202,19.954606457183697
Baseline,2010.0,asr_cancer_incidence,19.214226760203108,17.33333410963497,19.790546817244902
Baseline,2011.0,asr_cancer_incidence,18.411774103336537,17.389479334846456,20.17662585079963
Baseline,2012.0,asr_cancer_incidence,18.627310765548664,17.629463200747686,19.872709181156647
Baseline,2013.0,asr_cancer_incidence,18.843664816264756,17.559353039650308,19.388429113309513
Baseline,2014.0,asr_cancer_incidence,19.107117501789254,17.38050432094258,20.057541660960283
Baseline,2015.0,asr_cancer_incidence,18.71677388971476,17.681061294333617,19.46039461750117
Baseline,2016.0,asr_cancer_incidence,18.6576201564066,17.51120213772618,19.537282389044197
Baseline,2017.0,asr_cancer_incidence,18.336527756597263,17.40308048200701,19.53325832546531
Baseline,2018.0,asr_cancer_incidence,18.470410945175182,17.643003953666234,20.027179208339156
Baseline,2019.0,asr_cancer_incidence,19.345886049257786,17.94474964885514,20.904074622659632
Baseline,2020.0,asr_cancer_incidence,18.370709953599118,17.53589784681355,19.07489872144603
Baseline,2021.0,asr_cancer_incidence,18.260002557962093,17.263695813410983,19.609460655999747
Baseline,2022.0,asr_cancer_incidence,17.718138956948103,16.84346663627738,19.070144648231075
Baseline,2023.0,asr_cancer_incidence,18.07057022168511,16.971526232362184,18.7351893200718
Baseline,2024.0,asr_cancer_incidence,17.02984163922917,16.631343189006262,18.13603031577592
Baseline,2025.0,asr_cancer_incidence,17.154769220112467,16.35415824425294,17.77220674563886
Baseline,2026.0,asr_cancer_incidence,16.97103366912146,15.846517776106818,18.079893606473284
Baseline,2027.0,asr_cancer_incidence,17.12771957968962,16.59652111184754,17.95640208555755
Baseline,2028.0,asr_cancer_incidence,17.03592035686388,16.2745430268319,17.83545163454441
Baseline,2029.0,asr_cancer_incidence,16.70209938715734,15.7859228910121,17.269369253056823
Baseline,2030.0,asr_cancer_incidence,16.65690992491443,15.230944563060957,17.10243417156215
Baseline,2031.0,asr_cancer_incidence,16.385428712003183,15.254982144726563,16.853395701080228
Baseline,2032.0,asr_cancer_incidence,16.261646949367798,15.41141927779409,17.04640948183085
Baseline,2033.0,asr_cancer_incidence,16.06066773357777,15.44690015349803,17.18382450041003
Baseline,2034.0,asr_cancer_incidence,16.027720695936164,15.152845060312188,16.846720325471132
Baseline,2035.0,asr_cancer_incidence,15.784274114161583,15.07944103262099,16.867457367807788
Baseline,2036.0,asr_cancer_incidence,15.894601489482,15.060502669910365,16.794337618561197
Baseline,2037.0,asr_cancer_incidence,15.7844037310239,15.118423740727033,16.58294924907281
Baseline,2038.0,asr_cancer_incidence,15.849692586090693,15.136887159064127,16.494960400898094
Baseline,2039.0,asr_cancer_incidence,15.477230201072627,15.089342324563248,16.824149023027164
Baseline,2040.0,asr_cancer_incidence,15.349476748699356,14.888897938555209,16.02414749062969
Baseline,2041.0,asr_cancer_incidence,15.557622178644683,14.49643558962297,16.412316496228865
Baseline,2042.0,asr_cancer_incidence,15.33835462145494,14.702045170772125,16.16976600745146
Baseline,2043.0,asr_cancer_incidence,15.220629666373426,14.723730244165468,16.088670834260384
Baseline,2044.0,asr_cancer_incidence,15.643686378423421,14.821944492304372,16.25476896208864
Baseline,2045.0,asr_cancer_incidence,15.466749535042766,14.725257875042502,15.921330500394468
Baseline,2046.0,asr_cancer_incidence,15.006156733741886,14.657286919476784,16.0553058836243
Baseline,2047.0,asr_cancer_incidence,15.528379964613904,14.761743277294208,15.933827356994744
Baseline,2048.0,asr_cancer_incidence,14.961352378371913,14.43883389019106,15.995613376240264
Baseline,2049.0,asr_cancer_incidence,15.109888029397894,14.648612148468267,16.14314332566591
Baseline,2050.0,asr_cancer_incidence,14.83339853173253,14.21155385050341,15.728469073786966
Baseline,2051.0,asr_cancer_incidence,15.020723280531474,14.538600391607627,15.950566650749247
Baseline,2052.0,asr_cancer_incidence,15.205702891079145,14.677204796626345,16.167406017824664
Baseline,2053.0,asr_cancer_incidence,15.123376752022189,14.781702443527045,15.787873567752136
Baseline,2054.0,asr_cancer_incidence,15.276468525693732,14.520896995386405,15.937508897829812
Baseline,2055.0,asr_cancer_incidence,14.715929854210884,14.248529424930222,15.662442410490595
Baseline,2056.0,asr_cancer_incidence,14.968033060677772,14.509398927073956,15.5197902136291
Baseline,2057.0,asr_cancer_incidence,15.147866629763747,14.42204232505953,15.545730693600646
Baseline,2058.0,asr_cancer_incidence,15.077488674898706,14.552495864500568,15.700033512033341
Baseline,2059.0,asr_cancer_incidence,14.924500029902987,14.395784086958006,15.263455541566247
Baseline,2060.0,asr_cancer_incidence,14.692716300917196,14.283399334334668,15.504847592172966
Baseline,2061.0,asr_cancer_incidence,14.737507145972096,14.489556911805565,15.613454175070602
Baseline,2062.0,asr_cancer_incidence,14.985519376272673,14.523389605083912,15.327289389964712
Baseline,2063.0,asr_cancer_incidence,14.969135940377413,14.336401825238939,15.390431103110522
Baseline,2064.0,asr_cancer_incidence,14.812771850921518,14.029420385142933,15.211803195861554
Baseline,2065.0,asr_cancer_incidence,14.67081278563829,14.065386500497159,15.35062403461975
Baseline,2066.0,asr_cancer_incidence,14.703847083459364,14.325903602361477,15.416305333012644
Baseline,2067.0,asr_cancer_incidence,15.031437635989207,14.318096434471457,15.520892027437991
Baseline,2068.0,asr_cancer_incidence,14.691688324695347,14.283177780026623,15.017919275777643
Baseline,2069.0,asr_cancer_incidence,14.749096429889958,14.097556552819968,15.317526494820846
Baseline,2070.0,asr_cancer_incidence,14.412966880378642,13.983877450723035,15.376675511952893
Baseline,2071.0,asr_cancer_incidence,14.624517772269767,14.108322200942778,14.865584317014427
Baseline,2072.0,asr_cancer_incidence,14.608814637789145,13.948980678345919,15.02161808320894
Baseline,2073.0,asr_cancer_incidence,14.540698955825496,14.107390158204273,15.00413361059469
Baseline,2074.0,asr_cancer_incidence,14.660905597918672,13.953908898388402,15.22654469171168
