scenario,year,metric,value,low,high
Baseline,2016.0,asr_cancer_incidence,18.6576201564066,17.51120213772618,19.5372823890442
Baseline,2017.0,asr_cancer_incidence,18.336527756597263,17.40308048200701,19.53325832546531
Baseline,2018.0,asr_cancer_incidence,18.470410945175185,17.643003953666234,20.02717920833916
Baseline,2019.0,asr_cancer_incidence,19.345886049257786,17.94474964885514,20.904074622659632
Baseline,2020.0,asr_cancer_incidence,18.37070995359912,17.53589784681355,19.07489872144603
Baseline,2021.0,asr_cancer_incidence,18.260002557962093,17.263695813410983,19.609460655999747
Baseline,2022.0,asr_cancer_incidence,17.718138956948103,16.84346663627738,19.070144648231075
Baseline,2023.0,asr_cancer_incidence,18.07057022168511,16.971526232362184,18.7351893200718
Baseline,2024.0,asr_cancer_incidence,17.02984163922917,16.631343189006262,18.13603031577592
Baseline,2025.0,asr_cancer_incidence,17.154769220112467,16.35415824425294,17.77220674563886
Baseline,2026.0,asr_cancer_incidence,16.97103366912146,15.846517776106818,18.079893606473284
Baseline,2027.0,asr_cancer_incidence,17.12771957968962,16.59652111184754,17.95640208555755
Baseline,2028.0,asr_cancer_incidence,17.03592035686388,16.2745430268319,17.83545163454441
Baseline,2029.0,asr_cancer_incidence,16.70209938715734,15.7859228910121,17.269369253056823
Baseline,2030.0,asr_cancer_incidence,16.65690992491443,15.230944563060955,17.10243417156215
Baseline,2031.0,asr_cancer_incidence,16.385428712003183,15.254982144726563,16.853395701080228
Baseline,2032.0,asr_cancer_incidence,16.261646949367798,15.41141927779409,17.04640948183085
Baseline,2033.0,asr_cancer_incidence,16.06066773357777,15.44690015349803,17.18382450041003
Baseline,2034.0,asr_cancer_incidence,16.027720695936164,15.152845060312188,16.846720325471132
Baseline,2035.0,asr_cancer_incidence,15.784274114161583,15.07944103262099,16.867457367807788
Baseline,2036.0,asr_cancer_incidence,15.894601489482,15.060502669910363,16.794337618561197
Baseline,2037.0,asr_cancer_incidence,15.7844037310239,15.118423740727032,16.58294924907281
Baseline,2038.0,asr_cancer_incidence,15.849692586090692,15.136887159064129,16.494960400898094
Baseline,2039.0,asr_cancer_incidence,15.477230201072627,15.089342324563248,16.824149023027164
Baseline,2040.0,asr_cancer_incidence,15.349476748699356,14.888897938555209,16.02414749062969
Baseline,2041.0,asr_cancer_incidence,15.557622178644683,14.49643558962297,16.412316496228865
Baseline,2042.0,asr_cancer_incidence,15.33835462145494,14.702045170772124,16.16976600745146
Baseline,2043.0,asr_cancer_incidence,15.220629666373426,14.723730244165468,16.088670834260384
Baseline,2044.0,asr_cancer_incidence,15.64368637842342,14.821944492304372,16.25476896208864
Baseline,2045.0,asr_cancer_incidence,15.466749535042766,14.725257875042502,15.921330500394468
Baseline,2046.0,asr_cancer_incidence,15.006156733741886,14.657286919476784,16.0553058836243
Baseline,2047.0,asr_cancer_incidence,15.528379964613904,14.761743277294208,15.933827356994744
Baseline,2048.0,asr_cancer_incidence,14.961352378371911,14.43883389019106,15.995613376240264
Baseline,2049.0,asr_cancer_incidence,15.109888029397894,14.648612148468269,16.14314332566591
Baseline,2050.0,asr_cancer_incidence,14.83339853173253,14.21155385050341,15.728469073786966
Baseline,2051.0,asr_cancer_incidence,15.020723280531474,14.538600391607629,15.950566650749249
Baseline,2052.0,asr_cancer_incidence,15.205702891079143,14.677204796626343,16.167406017824664
Baseline,2053.0,asr_cancer_incidence,15.123376752022187,14.781702443527044,15.787873567752136
Baseline,2054.0,asr_cancer_incidence,15.276468525693732,14.520896995386405,15.937508897829812
Baseline,2055.0,asr_cancer_incidence,14.715929854210884,14.248529424930222,15.662442410490597
Baseline,2056.0,asr_cancer_incidence,14.968033060677772,14.509398927073956,15.5197902136291
