year,bin,m,f
2025,0,32468080,33329220
2025,10,27664108,28754768
2025,20,19223460,20527612
2025,30,12898208,14108472
2025,40,9206336,10369872
2025,50,5698592,6354504
2025,60,3490160,3586824
2025,70,1646504,1595880
2050,0,36914700,37947192
2050,10,34767900,36089832
2050,20,31373416,33510080
2050,30,25751120,28591616
2050,40,17815616,20583440
2050,50,10716608,12383904
2050,60,7217056,7849008
2050,70,3667088,3776832
2075,0,35376952,36303800
2075,10,35150928,36296536
2075,20,35592480,37495536
2075,30,31745784,34733536
2075,40,26370240,30114144
2075,50,21062368,24141312
2075,60,15667488,17283904
2075,70,7387392,7751264
2100,0,31774552,32600010
2100,10,32546584,33425310
2100,20,34559616,36174768
2100,30,32093544,34868488
2100,40,28894456,32493632
2100,50,25778656,29174464
2100,60,21406288,23261920
2100,70,13873136,14039712
