bins,partners,counts,popsize,shares
15,0,1622,3163,0.51280429971546
20,0,2437,3716,0.6558127018299247
25,0,2713,3406,0.7965355255431591
30,0,2483,2952,0.8411246612466124
35,0,2254,2603,0.8659239339223972
40,0,1701,2191,0.7763578274760383
45,0,1289,1714,0.7520420070011669
15,1,1414,3163,0.44704394562124566
20,1,1128,3716,0.30355220667384286
25,1,617,3406,0.18115091015854376
30,1,433,2952,0.14668021680216803
35,1,319,2603,0.1225509028044564
40,1,446,2191,0.20356001825650388
45,1,391,1714,0.2281213535589265
15,2,123,3163,0.038887132469174836
20,2,144,3716,0.038751345532831
25,2,73,3406,0.021432765707574866
30,2,35,2952,0.011856368563685637
35,2,30,2603,0.01152516327314637
40,2,36,2191,0.016430853491556367
45,2,33,1714,0.019253208868144692
15,3,4,3163,0.001264622194119507
20,3,7,3716,0.001883745963401507
25,3,3,3406,0.0008807985907222549
30,3,1,2952,0.00033875338753387534
35,3,0,2603,0.0
40,3,8,2191,0.003651300775901415
45,3,1,1714,0.0005834305717619603
15,5,0,3163,0.0
20,5,0,3716,0.0
25,5,0,3406,0.0
30,5,0,2952,0.0
35,5,0,2603,0.0
40,5,0,2191,0.0
45,5,0,1714,0.0
