age,cohort,model_prop_f,model_prop_m
12,1980.0,0.05714285714285714,0.0
13,1980.0,0.09635416666666667,0.007832898172323759
14,1980.0,0.16272965879265092,0.015748031496062992
15,1980.0,0.24736842105263157,0.034210526315789476
16,1980.0,0.35278514588859416,0.10317460317460317
17,1980.0,0.4946524064171123,0.22015915119363394
18,1980.0,0.5978552278820375,0.3485254691689008
19,1980.0,0.707774798927614,0.4366576819407008
20,1980.0,0.7688172043010753,0.5474254742547425
21,1980.0,0.8378378378378378,0.6521739130434783
22,1980.0,0.8989071038251366,0.7438692098092643
23,1980.0,0.9232876712328767,0.7857142857142857
24,1980.0,0.9530386740331491,0.8296703296703297
25,1980.0,0.96398891966759,0.8753462603878116
26,1980.0,0.9749303621169917,0.9194444444444444
27,1980.0,0.9831932773109243,0.9357541899441341
28,1980.0,0.9859550561797753,0.9661971830985916
29,1980.0,0.9858356940509915,0.9774011299435028
30,1980.0,0.9914529914529915,0.9804511278195489
12,1981.0,0.04785894206549118,0.002512562814070352
13,1981.0,0.09090909090909091,0.012594458438287154
14,1981.0,0.14720812182741116,0.017676767676767676
15,1981.0,0.2390745501285347,0.03307888040712468
16,1981.0,0.3917525773195876,0.08997429305912596
17,1981.0,0.5348837209302325,0.2144702842377261
18,1981.0,0.671875,0.33246753246753247
19,1981.0,0.734375,0.4386422976501306
20,1981.0,0.7853403141361257,0.5261780104712042
21,1981.0,0.8232189973614775,0.6062992125984252
22,1981.0,0.8809523809523809,0.7255936675461742
23,1981.0,0.9122340425531915,0.7857142857142857
24,1981.0,0.9413333333333334,0.864
25,1981.0,0.9571045576407506,0.8927613941018767
26,1981.0,0.967654986522911,0.9274193548387096
27,1981.0,0.981081081081081,0.94579945799458
28,1981.0,0.983739837398374,0.9727520435967303
29,1981.0,0.989010989010989,0.9686567164179104
30,1981.0,0.9917127071823204,0.0
12,1982.0,0.051094890510948905,0.0
13,1982.0,0.0951219512195122,0.004878048780487805
14,1982.0,0.17777777777777778,0.017241379310344827
15,1982.0,0.26054590570719605,0.04197530864197531
16,1982.0,0.39054726368159204,0.07692307692307693
17,1982.0,0.5175,0.23940149625935161
18,1982.0,0.61,0.3575
19,1982.0,0.690176322418136,0.46733668341708545
20,1982.0,0.7645569620253164,0.5934343434343434
21,1982.0,0.816793893129771,0.6582278481012658
22,1982.0,0.8823529411764706,0.7346938775510204
23,1982.0,0.9203084832904884,0.8005115089514067
24,1982.0,0.9354005167958657,0.8505154639175257
25,1982.0,0.9481865284974094,0.8992248062015504
26,1982.0,0.961038961038961,0.9296875
27,1982.0,0.9685863874345549,0.9528795811518325
28,1982.0,0.9736147757255936,0.9585798816568047
29,1982.0,0.9787798408488063,0.0
30,1982.0,0.9866666666666667,0.0
12,1983.0,0.056074766355140186,0.0
13,1983.0,0.1179245283018868,0.0
14,1983.0,0.1895734597156398,0.014150943396226415
15,1983.0,0.2755344418052256,0.02132701421800948
16,1983.0,0.42720763723150357,0.08788598574821853
17,1983.0,0.5552884615384616,0.2422062350119904
18,1983.0,0.6481927710843374,0.36211031175059955
19,1983.0,0.7198067632850241,0.48792270531400966
20,1983.0,0.7834549878345499,0.6029055690072639
21,1983.0,0.8410757946210269,0.6878048780487804
22,1983.0,0.8845208845208845,0.7726161369193154
23,1983.0,0.9211822660098522,0.8255528255528255
24,1983.0,0.9407407407407408,0.8666666666666667
25,1983.0,0.9601990049751243,0.9079601990049752
26,1983.0,0.9674185463659147,0.9501246882793017
27,1983.0,0.9849246231155779,0.9455081001472754
28,1983.0,0.9924242424242424,0.0
29,1983.0,0.9872773536895675,0.0
30,1983.0,0.9923076923076923,0.0
12,1984.0,0.04954954954954955,0.002257336343115124
13,1984.0,0.11363636363636363,0.006787330316742082
14,1984.0,0.1780821917808219,0.013636363636363636
15,1984.0,0.26605504587155965,0.03189066059225513
16,1984.0,0.39080459770114945,0.09862385321100918
17,1984.0,0.532258064516129,0.24423963133640553
18,1984.0,0.6504629629629629,0.3726851851851852
19,1984.0,0.7245370370370371,0.46867749419953597
20,1984.0,0.7733644859813084,0.5617715617715617
21,1984.0,0.8329411764705882,0.65807962529274
22,1984.0,0.8747044917257684,0.7294117647058823
23,1984.0,0.9004739336492891,0.7919621749408984
24,1984.0,0.9357142857142857,0.8285714285714286
25,1984.0,0.9522673031026253,0.8803827751196173
26,1984.0,0.963855421686747,0.9137426900584795
27,1984.0,0.9636803874092009,0.0
28,1984.0,0.973170731707317,0.0
29,1984.0,0.9803439803439803,0.0
30,1984.0,0.9900990099009901,0.0
12,1985.0,0.034782608695652174,0.0021645021645021645
13,1985.0,0.08951965065502183,0.008676789587852495
14,1985.0,0.1513157894736842,0.015283842794759825
15,1985.0,0.23348017621145375,0.0437636761487965
16,1985.0,0.3893805309734513,0.10989010989010989
17,1985.0,0.5111111111111111,0.25165562913907286
18,1985.0,0.6026785714285714,0.3614190687361419
19,1985.0,0.6860986547085202,0.5066666666666667
20,1985.0,0.7725225225225225,0.6263982102908278
21,1985.0,0.8167420814479638,0.6831460674157304
22,1985.0,0.8704545454545455,0.7539503386004515
23,1985.0,0.8995433789954338,0.7981859410430839
24,1985.0,0.9243119266055045,0.8649885583524027
25,1985.0,0.956221198156682,0.8677325581395349
26,1985.0,0.9653579676674365,0.0
27,1985.0,0.9766899766899767,0.0
28,1985.0,0.9882903981264637,0.0
29,1985.0,0.9976359338061466,0.0
30,1985.0,0.9952380952380953,0.0
12,1986.0,0.037422037422037424,0.00205761316872428
13,1986.0,0.06889352818371608,0.004132231404958678
14,1986.0,0.16142557651991615,0.006211180124223602
15,1986.0,0.2673684210526316,0.016632016632016633
16,1986.0,0.3953488372093023,0.06485355648535565
17,1986.0,0.527542372881356,0.2294736842105263
18,1986.0,0.6217948717948718,0.3361522198731501
19,1986.0,0.7066381156316917,0.43736730360934184
20,1986.0,0.7586206896551724,0.535181236673774
21,1986.0,0.8073593073593074,0.6381156316916489
22,1986.0,0.841304347826087,0.7290322580645161
23,1986.0,0.8864628820960698,0.7982646420824295
24,1986.0,0.9164835164835164,0.8270893371757925
25,1986.0,0.9426048565121413,0.0
26,1986.0,0.9623059866962306,0.0
27,1986.0,0.96875,0.0
28,1986.0,0.9820627802690582,0.0
29,1986.0,0.9909502262443439,0.0
30,1986.0,0.9931818181818182,0.0
12,1987.0,0.043824701195219126,0.001968503937007874
13,1987.0,0.094,0.0019723865877712033
14,1987.0,0.1686746987951807,0.009861932938856016
